Date,Oil Import,Supply,Demand,Total Inventory
2008-04-01,135309,92311,88539,65282
2008-05-01,151353,99348,95461,70623
2008-06-01,133263,88721,89780,70012
2008-07-01,143934,100893,95920,72259
2008-08-01,140427,96986,95487,70723
2008-09-01,141224,102104,99519,67731
2008-10-01,144674,96849,99174,61725
2008-11-01,147138,93436,93140,59060
2008-12-01,150108,100458,101550,56157
2009-01-01,169913,103740,96338,78599
2009-02-01,142283,95745,94870,85185
2009-03-01,136493,103964,100398,73247
2009-04-01,139829,97397,95493,72761
2009-05-01,125975,94591,93009,70123
2009-06-01,130074,95734,94201,63968
2009-07-01,134884,96307,93121,61229
2009-08-01,144822,99782,94783,64285
2009-09-01,135120,95765,92061,65614
2009-10-01,146980,101910,100124,67846
2009-11-01,126292,94852,97055,54399
2009-12-01,140895,101081,103412,49318
2010-01-01,148313,103945,96539,56153
2010-02-01,132245,96374,89122,60991
2010-03-01,134981,98016,96166,58559
2010-04-01,139154,98351,98493,58225
2010-05-01,146612,99485,96462,65061
2010-06-01,139363,98366,96947,60955
2010-07-01,139008,96525,94375,60951
2010-08-01,151317,103136,101627,59795
2010-09-01,150234,105283,98136,64889
2010-10-01,153384,105260,103873,63550
2010-11-01,153242,102293,105375,59537
2010-12-01,156809,108738,108286,55041
2011-01-01,162614,111912,105508,66665
2011-02-01,141099,99251,95812,68472
2011-03-01,158564,106805,107883,67296
2011-04-01,153510,100740,98293,65558
2011-05-01,149684,106917,101384,64390
2011-06-01,151060,103806,99634,68504
2011-07-01,156124,108495,109526,66581
2011-08-01,147195,105372,107399,61698
2011-09-01,155006,106615,104389,66542
2011-10-01,163861,109401,106229,68682
2011-11-01,151758,108149,107009,62098
2011-12-01,161012,114054,116047,58775
2012-01-01,160980,117097,109788,62026
2012-02-01,156799,107668,108587,64663
2012-03-01,149171,104397,104557,61988
2012-04-01,147040,101153,98499,63527
2012-05-01,163513,111427,107672,67486
2012-06-01,155676,113868,113778,66851
2012-07-01,158816,112625,109420,66372
2012-08-01,160995,112132,107395,68209
2012-09-01,157312,116479,116780,69075
2012-10-01,162689,111691,112209,66087
2012-11-01,157494,115300,113542,67712
2012-12-01,161970,120466,115439,68118
2013-01-01,165735,119595,115960,67560
2013-02-01,154505,106536,103954,72144
2013-03-01,149488,111872,110325,69295
2013-04-01,135914,101278,103000,68571
2013-05-01,149125,105616,106342,71535
2013-06-01,154573,111011,107447,73065
2013-07-01,159228,113082,107163,85144
2013-08-01,146361,110534,112122,76603
2013-09-01,146525,107264,105295,78514
2013-10-01,156422,112118,108609,80731
2013-11-01,153472,112753,114383,74681
2013-12-01,150401,119529,111391,75372
2014-01-01,155764,116432,111024,78958
2014-02-01,142705,104107,100584,85733
2014-03-01,154165,118575,114581,85067
2014-04-01,141145,102194,104790,81451
2014-05-01,146503,112820,110529,80197
2014-06-01,145648,102884,103159,78141
2014-07-01,161005,114729,109773,83270
2014-08-01,168868,118604,114258,87335
2014-09-01,151891,113569,109037,89774
2014-10-01,152287,118241,114985,85311
2014-11-01,161990,113751,110368,89057
2014-12-01,163897,120809,120789,83583
2015-01-01,170766,121150,117948,81946
2015-02-01,158564,110292,108562,82305
2015-03-01,167647,116765,118057,75972
2015-04-01,156706,110466,107891,76650
2015-05-01,181362,114388,108015,92885
2015-06-01,167513,116962,113245,86968
2015-07-01,183905,123981,117307,93416
2015-08-01,177204,122979,122687,91193
2015-09-01,158492,116311,115538,86554
2015-10-01,166938,119325,118290,86014
2015-11-01,163179,121823,116266,88950
2015-12-01,189989,130421,127107,96411
2016-01-01,174240,125573,122635,89065
2016-02-01,187149,123034,119791,96901
2016-03-01,174983,124589,122428,93860
2016-04-01,174705,117012,118268,94898
2016-05-01,184115,123714,123777,94687
2016-06-01,170043,120392,116274,94565
2016-07-01,181909,128175,124471,94649
2016-08-01,175036,129805,125670,93530
2016-09-01,178507,120681,121645,101224
2016-10-01,173086,122096,122290,98186
2016-11-01,180745,125541,123192,100136
2016-12-01,195334,131609,133972,99312
2017-01-01,191887,133110,127466,98191
2017-02-01,176462,122787,118675,100184
2017-03-01,189337,130665,131526,100295
2017-04-01,170336,119735,115040,101159
2017-05-01,184011,128457,124095,104075
2017-06-01,171333,120759,117715,105771
2017-07-01,190464,131597,128091,102545
2017-08-01,197958,130104,126038,109573
2017-09-01,181571,125925,127603,110783
2017-10-01,191735,135878,125913,112285
2017-11-01,190438,128613,129945,106053
2017-12-01,200011,136507,136227,102662
2018-01-01,199640,137059,134116,102436
2018-02-01,183085,128892,121075,112349
2018-03-01,167790,123052,120578,108061
2018-04-01,174562,126846,123686,105561
2018-05-01,191581,137468,130502,106462
2018-06-01,188347,131338,124024,115704
2018-07-01,193659,137979,127025,120963
2018-08-01,185835,131452,131078,119033
2018-09-01,170315,133265,126220,112705
2018-10-01,193747,135104,127702,115392
2018-11-01,187090,135283,125097,123776
2018-12-01,186897,142764,133261,122183
2019-01-01,187678,143688,140822,107324
2019-02-01,188084,123896,117307,115913
2019-03-01,175350,129139,121127,115888
2019-04-01,189694,129961,126356,113604
2019-05-01,170922,129967,119427,113622
2019-06-01,169807,127583,118314,116904
2019-07-01,176719,139428,128784,112308
2019-08-01,187197,143922,131826,116569
2019-09-01,166664,135528,121009,116643
2019-10-01,163774,124523,124361,107032
2019-11-01,179046,131093,124825,110810
2019-12-01,181200,144128,134463,107530
2020-01-01,184124,146839,128918,115517
2020-02-01,168484,131632,120140,121758
2020-03-01,172106,134635,124233,117813
2020-04-01,160765,117238,117211,111928
2020-05-01,159722,124760,118768,107866
2020-06-01,154737,122846,111509,106691
2020-07-01,168708,130574,116551,114723
2020-08-01,161001,124013,115469,111853
2020-09-01,156459,119453,116435,110638
2020-10-01,160658,112201,108734,111328
2020-11-01,145825,115756,110051,101566
2020-12-01,168050,126432,116769,104449
2021-01-01,155687,122883,110847,105647
2021-02-01,148448,117781,106859,109012
2021-03-01,149655,122632,119017,99359
2021-04-01,160559,123223,115996,104879
2021-05-01,162854,131571,121085,103008
2021-06-01,156565,125651,117699,107606
2021-07-01,159031,136730,126423,105235
2021-08-01,167708,137657,121529,109216
2021-09-01,157511,131161,126676,105077
2021-10-01,168987,135081,126541,107368
2021-11-01,161233,129329,121748,104906
2021-12-01,173287,142438,136709,101415
2022-01-01,184376,143654,131909,109472
2022-02-01,159137,129332,119313,111451
2022-03-01,171072,136128,126302,112703
2022-04-01,169741,127100,119184,117889
2022-05-01,166507,132171,129547,108921
2022-06-01,153130,124674,111418,106569
2022-07-01,189881,144696,135365,114506
2022-08-01,190594,139866,140581,111498
2022-09-01,170006,130350,121510,112394
2022-10-01,161835,132143,121657,111349
2022-11-01,166266,134268,122754,113153
2022-12-01,174861,136681,136905,104652
2023-01-01,167868,137603,125718,101315
2023-02-01,167744,131678,118992,112096
2023-03-01,178014,136030,131262,112734
2023-04-01,166830,125420,113824,113143
2023-05-01,177382,139025,127709,109179
2023-06-01,149266,119392,113115,110253
2023-07-01,164428,130316,123942,105581
2023-08-01,154480,132098,121618,104310
2023-09-01,165647,136163,123824,110005
2023-10-01,169823,143578,129180,106874
